TransactionID,Amount,CountryRisk,TransactionType,CustomerType,AccountAgeMonths,HasPriorSAR,RelatedPartiesCount,TransactionLocation,PurposeKnown,TransactionPattern,NarrativeRiskTerms,IsFraud
100,40874,5,card,retail,103,0,3,domestic,1,round figures,cash-heavy,0
101,2668,4,ACH,foreign,1,0,4,domestic,1,frequent small,shell company,1
102,62692,8,wire,non-profit,25,0,2,domestic,0,round figures,cash-heavy,0
103,67663,1,cash,business,43,0,2,foreign,1,frequent small,shell company,0
104,2795,9,wire,business,102,0,4,domestic,1,structuring,unusual pattern,0
105,48290,6,crypto,foreign,84,0,2,domestic,0,normal,unusual pattern,0
106,5358,4,card,foreign,67,0,3,domestic,0,normal,unusual pattern,0
107,87638,9,ACH,non-profit,63,0,2,domestic,0,frequent small,unusual pattern,1
108,39604,5,crypto,non-profit,51,0,3,domestic,1,frequent small,shell company,0
109,33259,5,ACH,foreign,2,0,4,domestic,1,round figures,,0
110,14086,5,cash,foreign,82,0,1,domestic,1,round figures,third-party involvement,0
111,61958,1,cash,non-profit,108,0,4,domestic,1,normal,third-party involvement,0
112,12766,1,cash,retail,64,0,3,domestic,1,normal,unusual pattern,0
113,38760,8,ACH,non-profit,74,0,5,foreign,1,normal,,0
114,3661,8,crypto,retail,69,0,4,domestic,1,frequent small,cash-heavy,1
115,26954,6,cash,business,9,0,5,domestic,1,structuring,,0
116,64605,4,crypto,business,2,0,5,domestic,1,structuring,cash-heavy,0
117,52351,2,ACH,non-profit,34,0,3,domestic,1,frequent small,third-party involvement,0
118,22762,2,crypto,retail,60,0,3,foreign,1,round figures,,0
119,8492,9,ACH,non-profit,102,0,1,domestic,0,structuring,,0
120,30635,5,ACH,non-profit,61,0,2,domestic,1,round figures,third-party involvement,0
121,78703,4,card,retail,31,0,4,foreign,1,normal,,0
122,52356,10,ACH,non-profit,10,0,3,domestic,1,normal,cash-heavy,0
123,89235,1,ACH,business,114,0,4,domestic,1,round figures,,0
124,35322,7,wire,foreign,76,0,5,domestic,1,normal,cash-heavy,0
125,77473,3,cash,foreign,36,0,2,domestic,0,frequent small,unusual pattern,0
126,79675,6,card,non-profit,118,0,1,domestic,1,round figures,,0
127,96454,5,card,retail,85,0,4,domestic,1,round figures,cash-heavy,1
128,84751,5,card,retail,49,0,2,domestic,1,round figures,third-party involvement,0
129,63435,5,wire,business,111,0,1,domestic,1,structuring,unusual pattern,0
130,11065,1,ACH,retail,70,0,4,domestic,0,round figures,,0
131,24638,1,cash,retail,112,0,2,domestic,1,round figures,cash-heavy,0
132,70692,3,crypto,business,49,0,3,domestic,1,round figures,,0
133,98118,10,ACH,non-profit,3,0,4,domestic,1,structuring,cash-heavy,0
134,8210,4,wire,foreign,74,0,2,foreign,1,normal,,0
135,79409,5,ACH,business,5,0,1,foreign,1,structuring,unusual pattern,1
136,27366,2,ACH,non-profit,110,0,2,foreign,1,frequent small,unusual pattern,1
137,53092,8,wire,business,90,0,3,foreign,1,round figures,,0
138,83048,2,card,non-profit,61,0,4,domestic,1,frequent small,,0
139,98906,9,card,business,85,0,4,domestic,1,structuring,shell company,1
140,7010,2,cash,non-profit,109,0,4,domestic,0,normal,,0
141,91082,9,cash,business,90,0,3,domestic,1,normal,,0
142,306,7,card,non-profit,102,0,1,domestic,1,round figures,unusual pattern,1
143,87154,8,crypto,business,108,0,4,domestic,0,normal,,1
144,87997,2,ACH,foreign,26,0,1,domestic,1,structuring,third-party involvement,0
145,23519,7,crypto,foreign,72,0,2,foreign,1,structuring,,0
146,50736,6,ACH,retail,5,0,1,domestic,1,normal,shell company,0
147,50115,4,card,non-profit,15,0,1,domestic,1,round figures,cash-heavy,1
148,54368,7,cash,business,16,0,4,foreign,0,round figures,unusual pattern,1
149,88039,4,cash,non-profit,1,0,5,domestic,1,structuring,third-party involvement,0
150,18241,2,crypto,foreign,16,0,5,domestic,1,normal,cash-heavy,0
151,80456,10,cash,non-profit,37,0,3,domestic,1,structuring,third-party involvement,0
152,72010,7,card,business,3,0,3,domestic,1,structuring,unusual pattern,0
153,56144,8,crypto,non-profit,52,1,5,domestic,0,frequent small,shell company,0
154,67314,2,ACH,business,47,0,2,domestic,1,structuring,unusual pattern,0
155,33927,5,cash,foreign,95,0,4,domestic,1,round figures,third-party involvement,0
156,55920,1,wire,foreign,13,0,4,domestic,1,normal,third-party involvement,0
157,62723,7,cash,foreign,80,0,2,foreign,1,normal,unusual pattern,0
158,81834,8,ACH,retail,55,0,2,foreign,1,frequent small,,0
159,75550,6,crypto,foreign,107,1,5,domestic,1,frequent small,unusual pattern,0
160,93526,5,ACH,non-profit,21,0,3,domestic,1,round figures,shell company,0
161,22399,6,wire,retail,66,0,2,foreign,1,frequent small,unusual pattern,0
162,43685,2,card,foreign,54,1,3,foreign,0,structuring,cash-heavy,1
163,64144,1,cash,non-profit,27,0,1,foreign,1,structuring,,0
164,42657,7,crypto,non-profit,38,0,4,foreign,1,round figures,cash-heavy,0
165,49180,7,card,non-profit,90,0,5,domestic,0,normal,unusual pattern,0
166,2793,10,ACH,business,58,0,4,domestic,1,round figures,,1
167,95103,10,crypto,retail,62,0,5,domestic,0,frequent small,cash-heavy,0
168,95359,2,card,non-profit,102,1,1,domestic,0,normal,cash-heavy,0
169,69263,2,crypto,business,46,0,4,domestic,1,normal,,0
170,26039,1,wire,foreign,89,0,1,domestic,1,normal,,0
171,49025,10,wire,non-profit,11,0,5,domestic,1,frequent small,third-party involvement,1
172,43041,8,cash,business,72,0,2,domestic,1,structuring,,1
173,21934,8,cash,non-profit,8,0,4,domestic,1,structuring,unusual pattern,0
174,18147,1,wire,retail,97,0,1,domestic,1,frequent small,shell company,0
175,26205,8,crypto,retail,117,0,4,domestic,1,frequent small,third-party involvement,0
176,75866,9,wire,foreign,71,0,4,domestic,1,round figures,,0
177,15807,4,cash,non-profit,64,0,4,domestic,1,round figures,shell company,1
178,22076,1,wire,business,102,0,3,foreign,0,structuring,third-party involvement,1
179,44362,1,wire,foreign,21,0,1,domestic,1,frequent small,unusual pattern,0
180,23876,3,crypto,non-profit,72,0,1,domestic,1,round figures,shell company,0
181,30180,5,card,foreign,115,0,4,domestic,1,frequent small,,0
182,66942,5,cash,business,118,0,2,domestic,0,frequent small,,0
183,61473,9,crypto,foreign,63,0,4,domestic,0,structuring,unusual pattern,0
184,6876,10,wire,foreign,85,0,3,domestic,1,structuring,third-party involvement,0
185,92887,2,wire,foreign,64,0,5,domestic,0,frequent small,shell company,0
186,55116,2,card,non-profit,20,0,3,domestic,1,normal,unusual pattern,0
187,9574,6,cash,business,8,0,2,domestic,0,normal,third-party involvement,0
188,58153,9,cash,retail,58,0,4,foreign,1,frequent small,cash-heavy,0
189,22059,1,ACH,non-profit,46,0,1,domestic,1,structuring,cash-heavy,0
190,5630,9,cash,retail,31,0,4,domestic,1,normal,third-party involvement,0
191,94956,9,card,retail,114,1,2,domestic,1,structuring,,1
192,3848,9,ACH,non-profit,93,0,1,domestic,1,normal,,0
193,97604,5,ACH,non-profit,112,0,3,domestic,1,frequent small,cash-heavy,1
194,98198,9,wire,business,9,0,5,domestic,0,round figures,,1
195,13645,4,wire,business,15,0,5,domestic,1,round figures,,0
196,66299,2,cash,foreign,94,0,4,domestic,1,structuring,third-party involvement,0
197,34866,6,ACH,retail,26,0,3,domestic,1,structuring,third-party involvement,1
198,73630,4,wire,business,10,0,2,domestic,1,normal,,0
199,93657,6,card,foreign,29,0,5,domestic,0,frequent small,third-party involvement,1
200,61187,3,wire,business,118,0,3,domestic,1,normal,shell company,0
201,95939,6,wire,non-profit,80,1,4,domestic,1,frequent small,cash-heavy,0
202,68940,2,ACH,business,36,0,1,domestic,1,frequent small,shell company,0
203,54484,2,ACH,retail,84,0,4,domestic,1,structuring,shell company,0
204,51105,9,crypto,business,109,0,4,domestic,0,round figures,,1
205,46676,7,card,retail,118,0,3,domestic,1,round figures,,0
206,39453,3,ACH,non-profit,37,0,5,domestic,0,structuring,shell company,0
207,62103,1,cash,retail,86,0,3,domestic,1,round figures,shell company,0
208,83311,8,card,business,71,0,1,foreign,1,structuring,unusual pattern,0
209,52833,6,card,foreign,23,0,3,domestic,0,normal,unusual pattern,0
210,65418,7,ACH,non-profit,41,0,2,domestic,1,frequent small,cash-heavy,0
211,89574,9,card,business,104,1,4,domestic,1,round figures,shell company,0
212,23764,5,ACH,non-profit,93,0,5,domestic,1,round figures,third-party involvement,0
213,67272,1,wire,non-profit,80,0,1,domestic,1,normal,unusual pattern,0
214,85716,10,crypto,business,102,0,4,domestic,0,normal,,0
215,93364,7,wire,business,28,0,3,domestic,1,round figures,shell company,1
216,26836,5,ACH,foreign,48,0,2,foreign,0,round figures,third-party involvement,0
217,94309,3,ACH,non-profit,38,0,3,foreign,1,structuring,third-party involvement,0
218,954,9,wire,non-profit,31,0,4,domestic,1,structuring,third-party involvement,0
219,90184,1,cash,business,14,0,1,domestic,1,round figures,,0
220,38723,1,cash,retail,117,0,5,domestic,1,structuring,unusual pattern,0
221,7492,1,cash,business,97,0,4,domestic,0,normal,third-party involvement,0
222,55780,3,ACH,non-profit,73,1,1,domestic,1,frequent small,unusual pattern,0
223,46817,6,card,business,91,0,4,foreign,1,structuring,cash-heavy,0
224,87192,10,ACH,foreign,88,0,2,domestic,0,frequent small,,0
225,50959,3,card,retail,77,0,3,foreign,1,structuring,unusual pattern,0
226,26409,8,wire,business,90,1,5,domestic,1,round figures,unusual pattern,0
227,87555,10,crypto,foreign,29,0,1,foreign,0,structuring,third-party involvement,1
228,63834,2,card,non-profit,51,0,5,domestic,1,frequent small,third-party involvement,0
229,70567,9,cash,business,49,0,5,domestic,1,frequent small,,0
230,52762,3,ACH,non-profit,43,0,5,domestic,1,round figures,unusual pattern,0
231,98606,5,wire,foreign,92,0,1,domestic,1,frequent small,shell company,0
232,12788,10,cash,non-profit,92,0,1,domestic,1,round figures,third-party involvement,0
233,25442,8,wire,foreign,72,1,5,domestic,1,round figures,third-party involvement,0
234,37257,2,crypto,foreign,87,0,3,domestic,1,frequent small,cash-heavy,0
235,67963,6,ACH,foreign,93,0,4,domestic,1,normal,,0
236,52183,5,ACH,business,5,0,5,foreign,0,frequent small,unusual pattern,1
237,65833,10,crypto,non-profit,42,0,2,foreign,1,frequent small,unusual pattern,0
238,89145,9,ACH,non-profit,7,1,5,domestic,1,structuring,unusual pattern,0
239,34798,5,card,retail,42,0,1,domestic,1,frequent small,third-party involvement,0
240,80723,2,wire,retail,36,0,4,domestic,1,structuring,,0
241,22771,5,cash,retail,105,0,2,domestic,1,structuring,unusual pattern,0
242,25284,4,crypto,retail,27,0,4,domestic,1,frequent small,shell company,0
243,93484,7,card,non-profit,58,0,4,domestic,1,round figures,cash-heavy,0
244,42207,6,cash,foreign,46,0,2,domestic,1,normal,cash-heavy,0
245,86302,2,cash,foreign,66,0,5,foreign,1,frequent small,unusual pattern,0
246,51763,5,crypto,business,25,0,5,domestic,1,frequent small,third-party involvement,1
247,15808,7,card,foreign,73,0,5,domestic,1,round figures,cash-heavy,0
248,92006,7,cash,non-profit,117,0,3,domestic,1,structuring,cash-heavy,0
249,49911,5,cash,non-profit,27,0,5,domestic,1,round figures,cash-heavy,0
250,2911,9,card,non-profit,1,0,2,domestic,1,round figures,cash-heavy,0
251,56350,4,ACH,business,87,0,3,domestic,1,structuring,unusual pattern,1
252,72182,3,cash,retail,74,0,5,domestic,1,frequent small,,0
253,34854,4,wire,foreign,42,0,3,domestic,1,round figures,,0
254,95842,5,card,non-profit,52,0,2,domestic,0,round figures,third-party involvement,0
255,11511,6,cash,non-profit,25,0,5,domestic,0,frequent small,shell company,0
256,3011,3,crypto,retail,54,0,1,domestic,1,frequent small,,1
257,67370,2,wire,non-profit,67,0,2,domestic,1,normal,shell company,0
258,83863,4,cash,foreign,6,0,4,domestic,1,round figures,,1
259,8780,5,wire,business,58,0,4,domestic,1,normal,,0
260,84996,4,wire,non-profit,70,0,2,domestic,1,structuring,third-party involvement,0
261,83979,3,ACH,foreign,53,0,4,foreign,1,frequent small,cash-heavy,0
262,71395,8,wire,non-profit,66,1,2,domestic,1,frequent small,third-party involvement,0
263,88714,10,ACH,retail,58,0,1,domestic,1,normal,,0
264,11211,4,card,non-profit,82,0,2,domestic,0,round figures,cash-heavy,0
265,37604,2,ACH,non-profit,87,0,5,domestic,1,structuring,cash-heavy,0
266,1902,2,crypto,business,2,0,5,domestic,1,round figures,cash-heavy,0
267,8255,1,cash,retail,76,0,3,domestic,1,round figures,shell company,0
268,73756,4,card,retail,22,0,4,domestic,1,normal,,1
269,39484,10,card,business,37,0,4,domestic,0,round figures,unusual pattern,0
270,47354,9,crypto,non-profit,20,0,2,domestic,1,normal,third-party involvement,0
271,22018,7,ACH,foreign,103,0,4,domestic,1,frequent small,shell company,0
272,86081,10,cash,retail,24,0,5,domestic,1,frequent small,third-party involvement,1
273,60813,7,ACH,retail,112,0,1,domestic,0,frequent small,unusual pattern,0
274,30406,7,wire,non-profit,84,0,2,domestic,0,structuring,cash-heavy,0
275,16746,8,ACH,non-profit,65,0,4,domestic,1,structuring,unusual pattern,0
276,46943,1,card,retail,65,0,5,domestic,1,round figures,third-party involvement,0
277,96701,10,cash,non-profit,81,0,3,domestic,1,normal,unusual pattern,0
278,90835,10,ACH,foreign,1,0,4,domestic,1,round figures,,1
279,16471,8,cash,retail,117,0,1,domestic,0,frequent small,unusual pattern,0
280,77471,4,cash,foreign,116,0,1,domestic,1,round figures,,0
281,2149,4,wire,foreign,109,0,4,domestic,0,round figures,unusual pattern,1
282,31716,4,wire,non-profit,94,0,4,domestic,1,round figures,,0
283,21032,6,card,foreign,105,0,5,domestic,0,frequent small,,1
284,29955,7,crypto,non-profit,111,0,4,domestic,1,normal,unusual pattern,1
285,61534,6,cash,business,3,0,3,domestic,0,round figures,shell company,0
286,72794,1,crypto,non-profit,46,0,5,domestic,1,frequent small,cash-heavy,0
287,43116,8,card,foreign,55,0,2,domestic,1,structuring,cash-heavy,0
288,7500,10,cash,business,75,0,3,domestic,1,normal,cash-heavy,0
289,42742,7,cash,non-profit,88,0,5,domestic,1,frequent small,,0
290,15251,6,crypto,foreign,86,1,5,domestic,1,round figures,cash-heavy,0
291,51507,6,ACH,retail,64,0,1,domestic,0,frequent small,,0
292,66790,5,wire,retail,108,0,5,domestic,1,normal,shell company,0
293,4599,6,ACH,non-profit,45,0,3,domestic,1,round figures,unusual pattern,0
294,6395,9,crypto,non-profit,26,0,4,domestic,1,structuring,unusual pattern,0
295,59140,10,wire,retail,77,0,3,domestic,0,structuring,,0
296,12283,9,ACH,foreign,65,0,2,foreign,1,structuring,,1
297,29399,10,wire,foreign,24,0,5,domestic,1,frequent small,shell company,0
298,12974,8,cash,foreign,74,0,5,domestic,1,normal,cash-heavy,0
299,32811,10,ACH,non-profit,35,0,5,domestic,1,structuring,shell company,0
300,5639,9,wire,business,24,0,5,domestic,1,round figures,unusual pattern,0
301,53451,10,wire,business,28,0,1,domestic,1,round figures,unusual pattern,0
302,61367,8,wire,business,100,0,1,foreign,1,round figures,cash-heavy,1
303,48454,8,ACH,business,80,0,4,domestic,1,frequent small,unusual pattern,0
304,2657,1,card,business,104,0,5,domestic,1,normal,,0
305,38460,10,ACH,non-profit,16,0,2,domestic,1,normal,unusual pattern,0
306,82118,5,crypto,non-profit,59,0,4,foreign,1,structuring,third-party involvement,0
307,2300,4,ACH,business,81,0,5,domestic,1,normal,cash-heavy,0
308,68597,2,wire,non-profit,115,0,1,domestic,1,round figures,cash-heavy,0
309,47075,8,cash,non-profit,54,0,2,domestic,1,round figures,cash-heavy,0
310,21457,3,ACH,business,79,0,4,domestic,1,frequent small,third-party involvement,0
311,77605,4,ACH,foreign,16,0,2,domestic,1,round figures,shell company,0
312,2969,7,wire,non-profit,15,0,5,domestic,1,normal,,0
313,61235,10,cash,foreign,98,0,3,domestic,1,round figures,cash-heavy,0
314,50208,9,cash,non-profit,11,1,2,domestic,1,structuring,unusual pattern,0
315,94279,2,crypto,non-profit,65,0,2,domestic,1,frequent small,,0
316,90372,3,ACH,business,79,0,1,domestic,0,frequent small,unusual pattern,0
317,38567,4,cash,non-profit,90,1,5,domestic,1,normal,,0
318,23428,10,cash,retail,115,0,2,foreign,1,round figures,,0
319,91512,1,card,retail,68,0,5,domestic,1,round figures,unusual pattern,0
320,86931,7,card,business,43,0,1,foreign,1,normal,unusual pattern,0
321,4087,2,cash,foreign,69,0,5,foreign,1,normal,,0
322,58971,5,crypto,foreign,99,0,1,domestic,1,structuring,cash-heavy,0
323,22499,1,cash,foreign,13,0,1,domestic,0,normal,unusual pattern,1
324,46314,3,wire,retail,10,0,4,domestic,1,round figures,third-party involvement,1
325,99622,2,ACH,foreign,75,0,5,domestic,1,structuring,third-party involvement,0
326,86516,1,crypto,foreign,82,0,3,domestic,1,frequent small,,0
327,70371,7,wire,business,98,0,4,domestic,1,round figures,shell company,0
328,44164,5,crypto,foreign,103,0,1,domestic,1,frequent small,,0
329,70191,1,wire,retail,41,0,3,domestic,1,frequent small,,0
330,40918,6,ACH,retail,106,0,2,domestic,1,frequent small,cash-heavy,1
331,45625,5,ACH,retail,50,0,2,foreign,1,round figures,cash-heavy,0
332,19930,3,card,business,87,0,4,domestic,0,frequent small,shell company,0
333,17529,7,wire,business,71,0,3,foreign,1,round figures,shell company,0
334,6993,10,card,non-profit,59,0,5,domestic,1,frequent small,shell company,0
335,80009,9,wire,foreign,39,0,3,foreign,1,normal,shell company,0
336,47433,9,card,business,3,0,4,domestic,1,normal,shell company,0
337,3536,9,ACH,retail,76,0,5,domestic,0,round figures,,0
338,74390,2,crypto,retail,7,0,5,domestic,1,frequent small,,0
339,76313,3,card,business,49,0,2,domestic,1,frequent small,third-party involvement,0
340,5995,7,wire,business,26,0,3,foreign,1,frequent small,third-party involvement,0
341,19838,5,wire,business,33,0,5,domestic,1,normal,unusual pattern,1
342,30846,2,ACH,non-profit,101,0,4,foreign,1,frequent small,,0
343,49477,3,wire,retail,48,0,2,domestic,1,frequent small,shell company,0
344,48504,10,cash,non-profit,79,0,5,domestic,0,round figures,unusual pattern,0
345,54145,6,crypto,non-profit,2,0,3,domestic,0,frequent small,cash-heavy,0
346,97988,7,card,foreign,105,0,2,domestic,1,normal,,0
347,39890,9,crypto,retail,71,0,3,domestic,1,frequent small,third-party involvement,0
348,5700,1,ACH,retail,32,0,3,foreign,1,normal,,0
349,94760,7,card,business,4,0,3,foreign,1,normal,,0
350,93279,8,card,business,20,0,2,foreign,1,structuring,,0
351,40864,3,cash,foreign,114,0,5,foreign,1,normal,,0
352,74643,4,ACH,non-profit,117,0,1,domestic,1,structuring,cash-heavy,1
353,45814,10,wire,business,36,1,5,domestic,1,structuring,third-party involvement,1
354,56935,6,cash,business,32,0,2,domestic,0,frequent small,,1
355,73844,10,cash,retail,28,0,1,foreign,0,structuring,cash-heavy,0
356,56591,7,crypto,retail,77,1,1,domestic,1,round figures,unusual pattern,1
357,18689,4,crypto,business,1,0,1,domestic,0,normal,,0
358,43584,8,crypto,retail,60,0,4,domestic,1,round figures,cash-heavy,0
359,83089,5,cash,foreign,56,0,2,domestic,1,structuring,shell company,0
360,36312,1,wire,business,35,0,4,domestic,1,frequent small,unusual pattern,0
361,43625,4,card,retail,112,0,1,foreign,1,normal,third-party involvement,0
362,47302,3,crypto,foreign,30,0,4,domestic,0,round figures,,0
363,32735,9,wire,retail,54,0,4,domestic,1,frequent small,,0
364,63308,8,ACH,retail,36,0,2,domestic,0,structuring,cash-heavy,0
365,33928,1,crypto,retail,55,0,3,domestic,1,frequent small,third-party involvement,0
366,18811,6,card,business,89,1,4,domestic,1,round figures,shell company,0
367,3520,9,ACH,non-profit,80,1,4,domestic,1,frequent small,unusual pattern,0
368,96852,7,ACH,retail,58,0,1,foreign,1,round figures,third-party involvement,0
369,401,4,card,foreign,83,0,1,domestic,1,frequent small,,1
370,45336,1,crypto,business,65,0,1,domestic,1,normal,cash-heavy,0
371,66335,2,cash,business,69,1,5,domestic,1,frequent small,shell company,0
372,54340,5,card,foreign,51,0,4,domestic,1,normal,cash-heavy,0
373,65826,5,card,retail,22,0,1,domestic,1,round figures,unusual pattern,0
374,10592,8,card,non-profit,88,0,2,domestic,1,normal,third-party involvement,0
375,6202,6,ACH,retail,107,0,5,domestic,1,frequent small,cash-heavy,0
